id_ID,id_ell_light_uk,id_ell_moist_uk,id_ell_pH_uk,id_ell_N,id_li_form_B,id_ros,id_reprod_B,id_strategy,id_self_st,id_Breeding_sys,id_flw_muell,id_poll_vect_B,id_MycoFlor
Acroptilon repens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,vvs,c,SI,X,B`,in,OM
Actaea spicata,3.0,5.0,6.0,6.0,H,r,sv,cs,SC,AFXF,Po,se,FM
Adenophora liliifolia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cs,not defined,not defined,B,se,OM
Adonis aestivalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,sr,not defined,not defined,Po,se,OM
Adonis vernalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,csr,SI,X,Po,se,OM
Adoxa moschatellina,3.0,5.0,6.0,5.0,G,r,vvs,csr,I+,X,A,se,FM
Aegopodium podagraria,5.0,5.0,6.0,7.0,H,h,vvs,c,SC,XF,A,in,FM
Aesculus hippocastanum,4.0,5.0,6.0,7.0,M,r,s,c,SC,XF,B,in,OM
Aethusa cynapium,6.0,4.0,7.0,6.0,H,h,s,cr,SC,AF,A,se,OM
Agrimonia eupatoria,7.0,4.0,7.0,4.0,H,h,s,c,SC,AF,Po,se,OM
Agrostemma githago,7.0,4.0,6.0,5.0,H,h,s,cr,SC,AFXF,Ft,se,FM
Agrostis alpina,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SI,X,W,wi,OM
Agrostis canina,7.0,7.0,3.0,2.0,H,h,sv,csr,I+,X,W,wi,FM
Agrostis capillaris,6.0,4.0,4.0,4.0,H,h,sv,csr,I+,X,W,wi,FM
Agrostis gigantea,7.0,6.0,6.0,6.0,G,h,sv,c,I+,X,W,wi,OM
Agrostis scabra,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,r,SI,X,W,wi,OM
Agrostis stolonifera,7.0,6.0,6.0,5.0,H,h,sv,csr,I+,X,W,wi,FM
Agrostis vinealis,7.0,2.0,2.0,1.0,H,h,sv,csr,SI,X,W,wi,OM
Ailanthus altissima,-8.0,5.0,7.0,7.0,M,r,sv,c,not defined,X,A,in,FM
Aira caryophyllea,8.0,2.0,4.0,1.0,H,h,s,sr,SC,AO,W,se,FM
Aira praecox,8.0,2.0,2.0,1.0,H,h,s,sr,not defined,not defined,W,wi,FM
Ajuga genevensis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,ssv,csr,SC,XF,Hh,se,OM
Ajuga pyramidalis,7.0,5.0,1.0,1.0,H,h,ssv,csr,SC,AFXF,Hh,se,OM
Ajuga reptans,5.0,6.0,5.0,5.0,H,h,sv,csr,SC,AFXF,Hh,se,OM
Alchemilla alpina,7.0,5.0,4.0,3.0,S,h,sv,csr,not defined,not defined,AD,not defined,OM
Alchemilla connivens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla crinita,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla filicaulis,8.0,6.0,6.0,3.0,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla glabra,6.0,5.0,6.0,4.0,H,h,sv,csr,not defined,not defined,AD,not defined,OM
Alchemilla glaucescens,7.0,5.0,4.0,3.0,H,h,sv,csr,not defined,not defined,AD,not defined,OM
Alchemilla glomerulans,7.0,5.0,5.0,4.0,H,h,sv,csr,not defined,not defined,AD,not defined,OM
Alchemilla micans,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla monticola,6.0,4.0,6.0,4.0,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla obtusa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla propinqua,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla straminea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla subcrenata,7.0,4.0,5.0,5.0,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla subglobosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla vulgaris,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,AD,not defined,FM
Alchemilla xanthochlora,6.0,5.0,6.0,4.0,H,h,sv,csr,not defined,not defined,AD,not defined,OM
Alisma lanceolatum,7.0,10.0,7.0,5.0,A,g,sv,csr,SC,AFXF,AB,wi,FM
Alisma plantago-aquatica,7.0,10.0,7.0,7.0,A,g,sv,csr,SC,AFXF,AB,wi,FM
Alliaria petiolata,5.0,5.0,7.0,8.0,C,h,s,cr,SC,AF,AB,se,NM
Allium ampeloprasum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,s,csr,not defined,not defined,B,in,OM
Allium cepa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,s,csr,SC,X,B,se,OM
Allium fistulosum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,s,csr,not defined,not defined,B,ge,OM
Allium oleraceum,6.0,3.0,7.0,4.0,G,g,vvs,csr,not defined,not defined,B,in,FM
Allium sativum,8.0,5.0,7.0,6.0,G,h,v,csr,not defined,not defined,B,in,OM
Allium schoenoprasum,7.0,6.0,5.0,1.0,G,g,sv,csr,SC,X,B,se,OM
Allium scorodoprasum,6.0,6.0,7.0,7.0,G,h,vvs,csr,not defined,not defined,B,in,OM
Allium sphaerocephalon,8.0,3.0,8.0,2.0,G,r,s,csr,not defined,not defined,B,se,OM
Allium strictum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,sv,csr,not defined,not defined,B,in,OM
Allium ursinum,2.0,6.0,7.0,7.0,G,r,ssv,csr,SC,AF,B,se,OM
Allium victorialis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,csr,not defined,not defined,B,ge,OM
Allium vineale,5.0,4.0,7.0,6.0,G,r,vvs,c,not defined,not defined,B,in,OM
Alnus glutinosa,-5.0,8.0,6.0,6.0,M,r,ssv,c,I+,X,W,wi,FM
Alnus incana,-6.0,7.0,6.0,6.0,M,r,sv,c,SI,X,W,wi,OM
Alopecurus aequalis,8.0,9.0,4.0,7.0,H,h,sv,sr,SC,AF,W,wi,NM
Alopecurus arundinaceus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,XF,W,wi,OM
Alopecurus geniculatus,8.0,7.0,6.0,6.0,H,h,sv,csr,SC,XF,W,wi,OM
Alopecurus myosuroides,6.0,5.0,7.0,6.0,H,h,s,r,I+,X,W,wi,OM
Alopecurus pratensis,6.0,5.0,6.0,7.0,H,r,sv,c,SI,X,W,wi,OM
Althaea officinalis,6.0,7.0,8.0,4.0,H,h,s,cs,SC,AFXF,B,se,OM
Alyssum alyssoides,9.0,3.0,8.0,1.0,H,r,s,sr,SC,XF,AB,se,NM
Alyssum montanum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,r,s,csr,not defined,not defined,AB,se,NM
Amaranthus blitum,8.0,4.0,7.0,8.0,T,r,s,cr,SC,AF,W,wi,OM
Amaranthus caudatus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,AF,W,wi,FM
Amaranthus emarginatus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,AF,W,wi,OM
Amaranthus graecizans,9.0,3.0,7.0,8.0,T,r,s,cr,SC,AF,W,wi,NM
Amaranthus hypochondriacus,8.0,4.0,7.0,7.0,T,r,s,cr,SC,AF,W,wi,OM
Amaranthus powellii,8.0,4.0,7.0,6.0,T,r,s,cr,SC,AF,W,wi,NM
Amaranthus retroflexus,8.0,4.0,7.0,7.0,T,r,s,cr,SC,AF,W,wi,FM
Ambrosia artemisiifolia,9.0,4.0,7.0,6.0,T,r,s,cr,SC,AFXF,W,wi,OM
Ambrosia trifida,8.0,5.0,7.0,7.0,T,r,s,cr,C+,AFXF,W,wi,OM
Amelanchier ovalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,ssv,c,SC,XF,A,se,OM
Amelanchier spicata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,sv,c,SC,XF,A,se,OM
Ammophila arenaria,9.0,4.0,6.0,3.0,G,h,vvs,cs,I+,X,W,wi,FM
Amorpha fruticosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,s,c,not defined,not defined,H,se,FM
Anacamptis pyramidalis,7.0,3.0,8.0,2.0,G,h,s,csr,SC,X,F,in,OM
Anagallis arvensis,6.0,4.0,6.0,5.0,T,r,s,r,SC,AF,Po,se,OM
Anagallis tenella,8.0,8.0,5.0,3.0,H,r,sv,csr,not defined,not defined,Po,in,OM
Anaphalis margaritacea,6.0,5.0,5.0,5.0,H,r,sv,not defined,not defined,X,B`,in,FM
Anchusa officinalis,8.0,3.0,7.0,5.0,H,h,s,cs,SC,X,H,se,OM
Andromeda polifolia,9.0,9.0,1.0,1.0,S,r,vvs,cs,SC,AFXF,B,se,OM
Androsace obtusifolia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,g,s,csr,SC,AFXF,B,se,OM
Androsace septentrionalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,s,sr,SC,AFXF,B,se,FM
Anemone narcissiflora,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,sv,csr,not defined,not defined,Po,se,OM
Anemone nemorosa,4.0,5.0,5.0,4.0,G,r,vvs,csr,I+,XF,Po,se,FM
Anemone ranunculoides,3.0,6.0,7.0,7.0,G,r,sv,csr,not defined,not defined,Po,se,OM
Anemone sylvestris,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,not defined,not defined,Po,se,OM
Anethum graveolens,8.0,5.0,7.0,7.0,T,h,s,cr,SC,AFXF,A,se,OM
Angelica archangelica,7.0,9.0,6.0,7.0,H,h,s,cs,SC,XF,A,in,OM
Angelica sylvestris,6.0,8.0,6.0,4.0,H,h,s,c,SC,XF,A,in,OM
Antennaria dioica,8.0,4.0,3.0,2.0,C,h,sv,csr,not defined,X,B`,in,OM
Anthemis arvensis,7.0,4.0,5.0,6.0,H,h,s,cr,SI,X,B`,in,OM
Anthemis cotula,7.0,4.0,6.0,5.0,H,h,s,cr,I+,X,B`,in,OM
Anthemis tinctoria,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cs,not defined,not defined,B`,in,OM
Anthericum ramosum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,XF,A,in,FM
Anthoxanthum odoratum,7.0,5.0,4.0,3.0,H,h,sv,csr,C+,X,W,wi,FM
Anthriscus cerefolium,6.0,5.0,7.0,8.0,H,h,s,cr,SC,AFXF,A,in,OM
Anthriscus sylvestris,6.0,5.0,7.0,7.0,H,h,ssv,c,SC,XF,A,ge,FM
Anthyllis vulneraria,8.0,3.0,7.0,2.0,H,h,s,csr,SC,X,H,se,FM
Antirrhinum majus,7.0,3.0,7.0,5.0,C,r,s,cs,SC,XF,Hh,se,OM
Apera spica-venti,6.0,4.0,4.0,5.0,H,h,s,cr,SC,X,W,wi,FM
Aphanes arvensis,6.0,4.0,4.0,4.0,H,h,s,r,SC,AF,A,se,OM
Apium graveolens,8.0,8.0,7.0,7.0,H,h,s,cs,SC,AF,A,se,OM
Apium nodiflorum,7.0,10.0,7.0,7.0,H,h,sv,cs,SC,XF,A,in,NM
Aquilegia vulgaris,6.0,4.0,6.0,4.0,H,h,s,c,not defined,AF,H,se,FM
Arabidopsis thaliana,6.0,3.0,4.0,2.0,H,h,s,r,SC,AO,AB,se,FM
Arabis alpina,7.0,5.0,7.0,3.0,C,h,s,csr,SC,AFXF,AB,se,NM
Arabis caerulea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SC,AF,AB,se,NM
Arabis glabra,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SC,AO,AB,se,NM
Arabis hirsuta,7.0,4.0,7.0,3.0,H,h,s,csr,SC,AF,AB,se,NM
Arctium lappa,8.0,5.0,7.0,8.0,H,h,s,c,SC,AF,B`,se,FM
Arctium minus,5.0,4.0,7.0,5.0,H,h,s,c,SC,AF,B`,se,OM
Arctium nemorosum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,c,SC,AF,B`,se,OM
Arctostaphylos uva-ursi,6.0,3.0,2.0,2.0,S,r,sv,cs,SC,AO,Hh,se,OM
Arenaria serpyllifolia,8.0,3.0,6.0,4.0,H,r,s,r,SC,AO,AB,se,NM
Armeria arenaria,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,g,s,csr,I+,X,B`,se,OM
Armeria maritima,8.0,7.0,5.0,5.0,C,g,ssv,csr,I+,X,B`,se,FM
Armoracia rusticana,8.0,5.0,7.0,7.0,G,h,v,c,SI,X,AB,se,FM
Arnica montana,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,I+,X,B`,se,OM
Arrhenatherum elatius,7.0,5.0,7.0,7.0,H,h,ssv,c,I+,X,W,wi,FM
Artemisia absinthium,7.0,4.0,7.0,7.0,S,r,sv,cs,not defined,not defined,Wb,wi,FM
Artemisia annua,9.0,4.0,7.0,6.0,T,h,s,cr,not defined,not defined,Wb,wi,OM
Artemisia campestris,8.0,2.0,5.0,2.0,C,h,s,cs,not defined,not defined,Wb,wi,OM
Artemisia dracunculus,8.0,3.0,6.0,6.0,H,r,sv,c,not defined,not defined,Wb,wi,OM
Artemisia maritima,9.0,7.0,8.0,6.0,C,r,ssv,cs,not defined,not defined,Wb,wi,FM
Artemisia pontica,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,cs,not defined,not defined,Wb,wi,OM
Artemisia rupestris,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,h,sv,cs,not defined,not defined,Wb,wi,OM
Artemisia scoparia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cr,not defined,not defined,Wb,wi,OM
Artemisia umbelliformis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,not defined,not defined,Wb,wi,OM
Artemisia vulgaris,7.0,4.0,6.0,7.0,H,h,s,c,not defined,not defined,Wb,wi,FM
Arum maculatum,3.0,5.0,7.0,7.0,G,g,sv,csr,not defined,XF,Dke,in,OM
Asarum europaeum,3.0,5.0,7.0,6.0,H,r,sv,cs,SC,AO,Dke,se,FM
Asclepias syriaca,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,sv,c,SI,X,Dkl,in,OM
Asparagus officinalis,6.0,3.0,6.0,4.0,G,r,sv,cs,not defined,X,B,wi,OM
Asperugo procumbens,7.0,4.0,8.0,8.0,T,h,s,cr,SC,AO,B,se,OM
Asperula cynanchica,7.0,3.0,8.0,2.0,H,r,s,csr,SC,AF,B,se,OM
Asplenium adiantum-nigrum,6.0,4.0,2.0,3.0,H,g,s,csr,SC,AO,not defined,not defined,FM
Asplenium billotii,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,s,csr,not defined,not defined,not defined,not defined,NM
Asplenium ruta-muraria,7.0,3.0,7.0,2.0,H,g,s,csr,SC,I,not defined,not defined,FM
Asplenium septentrionale,8.0,2.0,2.0,2.0,H,g,s,csr,SC,I,not defined,not defined,FM
Asplenium trichomanes,5.0,3.0,6.0,2.0,H,g,s,csr,SC,I,not defined,not defined,FM
Asplenium viride,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,s,csr,not defined,XF,not defined,not defined,FM
Aster alpinus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,B`,ge,FM
Aster amellus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,not defined,not defined,B`,se,OM
Aster bellidiastrum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,sv,csr,not defined,not defined,B`,ge,OM
Aster laevis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,SI,X,B`,ge,OM
Aster lanceolatus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,not defined,not defined,B`,ge,OM
Aster novae-angliae,7.0,5.0,7.0,6.0,H,h,sv,c,SI,X,B`,ge,OM
Aster novi-belgii,7.0,6.0,7.0,6.0,H,h,sv,c,SI,X,B`,ge,OM
Aster tripolium,9.0,8.0,7.0,6.0,H,h,sv,cs,not defined,not defined,B`,se,OM
Astragalus alpinus,9.0,4.0,6.0,2.0,H,r,s,csr,SC,not defined,Hh,in,NM
Astragalus cicer,7.0,4.0,8.0,2.0,H,r,sv,c,SC,not defined,H,se,OM
Astragalus danicus,8.0,3.0,8.0,2.0,H,r,sv,csr,not defined,not defined,H,in,OM
Astragalus frigidus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,sv,cs,not defined,not defined,H,se,NM
Astragalus glycyphyllos,6.0,4.0,7.0,3.0,H,r,s,c,not defined,not defined,Hh,in,NM
Astragalus onobrychis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,s,cs,not defined,not defined,H,in,OM
Astragalus penduliflorus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,s,cs,not defined,not defined,H,in,OM
Astrantia major,5.0,6.0,7.0,5.0,H,h,sv,cs,SC,AFXF,B`,ge,FM
Athyrium distentifolium,5.0,6.0,5.0,6.0,H,g,s,cs,not defined,not defined,not defined,not defined,FM
Athyrium filix-femina,3.0,6.0,5.0,6.0,H,g,sv,cs,I+,X,not defined,not defined,FM
Atriplex glabriuscula,9.0,6.0,7.0,8.0,T,r,s,cs,SC,AFXF,Wb,wi,NM
Atriplex hortensis,7.0,5.0,7.0,8.0,T,r,s,cr,SC,AFXF,Wb,wi,NM
Atriplex littoralis,9.0,6.0,7.0,6.0,T,r,s,s,SC,AFXF,Wb,wi,FM
Atriplex patula,6.0,5.0,7.0,7.0,T,r,s,cr,SC,XF,Wb,wi,OM
Atriplex prostrata,8.0,6.0,7.0,7.0,T,r,s,s,SC,AF,Wb,wi,NM
Atriplex rosea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,AFXF,Wb,wi,NM
Atriplex sagittata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,AFXF,Wb,wi,FM
Avena fatua,6.0,4.0,7.0,7.0,T,h,s,cr,SC,AF,W,wi,OM
Avena nuda,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,h,s,cr,SC,AO,W,se,OM
Avena sativa,8.0,5.0,6.0,7.0,T,h,s,cr,SC,AO,W,wi,FM
Avena sterilis,7.0,5.0,7.0,7.0,T,h,s,not defined,SC,AO,W,wi,OM
Azolla filiculoides,6.0,11.0,6.0,8.0,A,r,sv,not defined,not defined,X,not defined,not defined,NM
Baldellia ranunculoides,8.0,10.0,6.0,2.0,A,g,sv,not defined,SC,X,AB,se,OM
Ballota nigra,7.0,4.0,7.0,6.0,C,r,s,c,SC,AFXF,H,se,FM
Barbarea vulgaris,7.0,6.0,6.0,6.0,H,h,ssv,cr,SC,XF,AB,se,NM
Bartsia alpina,8.0,8.0,7.0,2.0,G,r,sv,csr,SC,AFXF,Hh,wi,FM
Bassia scoparia,8.0,4.0,6.0,6.0,T,r,s,cr,SC,XF,W,wi,NM
Beckmannia syzigachne,7.0,9.0,7.0,3.0,T,h,s,cr,not defined,not defined,W,wi,OM
Bellis perennis,8.0,5.0,5.0,4.0,H,g,sv,csr,SC,AO,B`,se,FM
Berberis thunbergii,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,s,c,SC,X,ABDe,se,OM
Berberis vulgaris,7.0,4.0,8.0,3.0,N,r,s,c,SC,X,ABDe,se,OM
Berteroa incana,9.0,3.0,6.0,4.0,H,h,s,csr,SI,X,AB,se,NM
Berula erecta,7.0,10.0,7.0,6.0,A,r,sv,cs,SC,AFXF,A,se,FM
Beta vulgaris,9.0,5.0,7.0,8.0,H,h,s,cs,SI,X,Wb,wi,OM
Betonica officinalis,6.0,4.0,5.0,3.0,H,r,sv,c,SC,AF,H,se,OM
Betula humilis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,s,cs,SI,X,W,wi,OM
Betula nana,7.0,8.0,1.0,1.0,N,r,vvs,cs,I+,X,W,wi,OM
Betula pendula,-7.0,5.0,4.0,3.0,M,r,s,c,SI,X,W,wi,OM
Betula pubescens,-7.0,7.0,3.0,3.0,M,r,s,cs,SI,X,W,wi,OM
Bidens frondosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,AO,B`,se,OM
Bidens tripartita,8.0,8.0,7.0,7.0,T,r,s,cr,SC,AF,B`,se,FM
Biscutella laevigata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,ssv,csr,SI,X,AB,in,FM
Bistorta officinalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,not defined,not defined,B`,ge,FM
Bistorta vivipara,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,vvs,csr,not defined,not defined,B,se,FM
Blackstonia perfoliata,8.0,5.0,8.0,2.0,T,r,s,sr,SC,AO,B,se,FM
Blechnum spicant,3.0,6.0,2.0,3.0,H,g,s,cs,not defined,X,not defined,not defined,FM
Blysmus rufus,8.0,8.0,7.0,4.0,G,h,sv,csr,SC,AFXF,W,wi,OM
Bolboschoenus maritimus,8.0,10.0,8.0,7.0,G,h,sv,cs,SI,X,W,wi,OM
Borago officinalis,8.0,4.0,7.0,6.0,H,h,s,cr,I+,X,H,se,FM
Bothriochloa ischaemum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,not defined,not defined,W,wi,OM
Botrychium lunaria,8.0,4.0,5.0,2.0,G,r,s,s,not defined,not defined,not defined,not defined,OM
Botrychium multifidum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,s,csr,not defined,not defined,not defined,not defined,OM
Botrychium simplex,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,s,csr,not defined,not defined,not defined,not defined,OM
Botrychium virginianum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,s,csr,not defined,not defined,not defined,not defined,OM
Brachypodium pinnatum,6.0,3.0,7.0,3.0,H,h,sv,cs,not defined,not defined,W,wi,FM
Brachypodium rupestre,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,not defined,not defined,W,wi,OM
Brachypodium sylvaticum,3.0,5.0,6.0,5.0,H,r,sv,cs,SC,X,W,wi,OM
Brassica juncea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,h,s,cr,SC,not defined,AB,se,NM
Brassica napus,7.0,4.0,7.0,7.0,T,h,s,cr,C+,AFXF,AB,se,FM
Brassica nigra,8.0,5.0,7.0,6.0,T,h,s,cr,I+,X,AB,se,NM
Brassica oleracea,8.0,4.0,7.0,8.0,C,h,s,cr,I+,X,AB,in,FM
Brassica rapa,7.0,5.0,7.0,6.0,T,h,s,cr,I+,X,AB,se,NM
Briza media,8.0,5.0,5.0,2.0,H,h,sv,csr,I+,X,W,wi,FM
Bromus arvensis,6.0,4.0,8.0,4.0,H,h,s,cr,SC,AO,W,se,OM
Bromus benekenii,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,not defined,not defined,W,wi,OM
Bromus carinatus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cr,SC,AF,W,wi,OM
Bromus catharticus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cr,SC,AO,W,se,OM
Bromus erectus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SI,X,W,wi,OM
Bromus hordeaceus,7.0,4.0,6.0,3.0,H,h,s,cr,SC,AO,W,wi,FM
Bromus inermis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,I+,X,W,wi,OM
Bromus japonicus,8.0,4.0,8.0,3.0,H,h,s,r,SC,AO,W,se,OM
Bromus madritensis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cr,SC,AF,W,se,OM
Bromus racemosus,6.0,6.0,5.0,5.0,T,h,s,cr,SC,AFXF,W,wi,OM
Bromus secalinus,6.0,4.0,5.0,4.0,H,h,s,cr,SC,AO,W,wi,OM
Bromus squarrosus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cr,SC,AO,W,se,OM
Bromus sterilis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cr,SC,AO,W,se,FM
Bromus tectorum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,r,SC,AO,W,wi,FM
Bryonia dioica,7.0,5.0,7.0,6.0,H,r,s,c,SC,X,B,in,OM
Buddleja davidii,7.0,4.0,7.0,4.0,N,r,s,c,not defined,not defined,F,in,FM
