index,a1,a2,a3,b1,b2,b3,c1,o1,o2
22,1.5822133068442965,65.35147090156926,0.681512315990275,some HS,inactive,NS,F,26.105096410824913,low
23,1.392647271549508,63.20409196380906,0.6265338852229153,Grad,heavy,S,M,32.58839194933498,high
24,1.583439629528667,66.64448485215728,0.7139882503728681,HS,light,NS,F,26.58038059863074,low
25,1.635255732370582,66.39132393850201,0.7306406095412314,Grad,heavy,S,M,24.82789892811918,high
26,1.5020671109778376,64.1269962778158,0.6730300968207305,Grad,heavy,S,M,28.42249665130446,high
27,1.5569108165762262,65.62490199026924,0.7134502848487054,some HS,inactive,NS,M,27.07330001807375,low
28,1.4463408967752887,63.639381053649515,0.6594869167656233,Grad plus,turbo,S,M,30.42177949419136,high
29,1.454702984572856,65.28197652257326,0.6628994704581721,some HS,inactive,NS,F,30.84925178912285,low
30,1.592464313614571,66.06673271227938,0.7086143714187572,some HS,inactive,NS,M,26.052140521342867,low
31,1.5980551850827014,65.97735804586762,0.7219840404158911,Grad,heavy,S,F,25.835173103710733,med
32,1.7254772498880284,65.57234559662814,0.760845887384173,Uni,moderate,NS,F,22.024306588570127,med
33,1.6619580608291642,66.35289723387955,0.7322409782631089,Grad plus,turbo,S,F,24.022586737319813,high
34,1.4853613356761668,63.89918289027882,0.6599436923879028,some HS,inactive,NS,F,28.96216842575465,low
35,1.5456181459606486,66.62828094716163,0.6846008006433979,some HS,inactive,NS,F,27.890364664338115,low
36,1.5284735437684023,65.62338644896164,0.6836080966326165,some HS,inactive,NS,M,28.089420927776388,low
37,1.6790795374780387,68.21584186762962,0.745259048667632,HS,light,NS,F,24.195951493455915,low
38,1.64364540796888,66.09450805965186,0.7227040012947035,Uni,moderate,S,F,24.465219299403973,med
39,1.4541541223063288,65.9849446481719,0.6530078773065291,HS,light,NS,F,31.204985070586037,low
40,1.637082869871827,65.86415070001112,0.7202532532471303,some HS,inactive,NS,M,24.575805870904297,low
41,1.729019240885348,66.58314259676476,0.7718429718828734,HS,light,NS,M,22.27227789507164,med
42,1.6697809794134637,66.40595602824408,0.7367954679037099,some HS,inactive,NS,M,23.817052509808864,low
43,1.4384554714020379,65.0713161189975,0.644729299403657,some HS,inactive,NS,M,31.4482690101376,low
44,1.505699814409434,66.68314219592412,0.680308269837901,Uni,moderate,S,F,29.412995900595472,med
45,1.6361467421844544,66.17811153663746,0.712838969813584,HS,light,NS,F,24.721218095630707,low
46,1.7288362908729844,66.54818882684626,0.7743250969616452,some HS,inactive,NS,F,22.265297342254964,low
47,1.5322508536237847,65.53813621628508,0.6757761901202838,Uni,moderate,S,F,27.914788566462562,med
48,1.5943110193146823,65.88745170368664,0.6963580126288199,some HS,inactive,NS,F,25.921290264431622,low
49,1.4716772911593115,65.59601235229223,0.6586587462544113,Grad plus,turbo,S,M,30.286721354791084,high
50,1.5880845148642324,66.29977194697177,0.6952107553138058,HS,light,NS,F,26.28843984043467,low
51,1.7119047251152495,67.91015035314598,0.7446687519683982,HS,light,NS,F,23.172639787482918,low
52,1.6193526164380019,66.66496180175717,0.71197012499683,some HS,inactive,NS,F,25.422296521953022,low
53,1.6007270122316217,64.09232325379705,0.7209784912956838,some HS,inactive,NS,M,25.013327362990097,low
54,1.7984674914394214,69.37125665103444,0.7923499878287089,some HS,inactive,NS,M,21.44738647290633,low
55,1.5402352402319046,65.34257772954311,0.6859465374604733,Uni,moderate,S,M,27.543691896258274,med
56,1.6290608854454132,66.22741112442539,0.710710293584649,Uni,moderate,S,F,24.95532017152681,med
57,1.6518299171376398,67.48848089665081,0.7434160133074474,HS,light,NS,F,24.734264320595962,low
58,1.7154843542957532,66.63689396414826,0.7548302305152722,Grad,heavy,S,F,22.643378323588593,high
59,1.6176316277341563,67.11426897614623,0.7201335854040692,Grad,heavy,S,M,25.648124013531316,high
60,1.647158350942249,67.36074237262872,0.7136392161331683,Grad,heavy,S,M,24.827681185475956,high
61,1.6847985282370423,67.86637261429982,0.7554273844693699,some HS,inactive,NS,F,23.90885005339609,low
62,1.581165517117458,66.17468072605392,0.6890104249606354,Uni,moderate,S,F,26.468978776879293,med
63,1.5246318479630716,65.33438010641513,0.6971130347382681,HS,light,NS,M,28.1068256625829,low
64,1.475908820189,64.32716329808851,0.6456528656436126,HS,light,NS,F,29.53080895404247,low
65,1.623835246323894,65.88272638053331,0.7125604903622893,Grad plus,turbo,S,M,24.98547644666138,high
66,1.7243930220143542,67.96434154918363,0.7506631945819863,Grad plus,turbo,S,M,22.85644064948108,high
67,1.503725944085954,64.58460586225306,0.6766095506523064,some HS,inactive,NS,M,28.56219817018841,low
68,1.5014378669015154,64.29117257855,0.6674744531808066,some HS,inactive,NS,M,28.51915261311235,low
69,1.7524903929595406,66.70634524306723,0.7588409796949755,some HS,inactive,NS,F,21.719801662568653,low
70,1.5770687144999844,67.17373159769068,0.7067893417319153,Grad plus,turbo,S,M,27.008361745981585,high
71,1.608360628730808,66.14003626892037,0.7164838488491135,Grad plus,turbo,S,M,25.568047349798576,high
72,1.731579358405862,66.75450599155194,0.7662116647428208,Grad,heavy,S,F,22.26362027525778,high
73,1.727811131910977,66.9256323340629,0.7566463584761014,Grad plus,turbo,S,F,22.41815913854609,high
74,1.6191385111195864,66.83060160959818,0.7076638884369673,Grad plus,turbo,S,M,25.492202841758452,high
75,1.7527743133660314,67.22518960122972,0.7481361821913953,some HS,inactive,NS,F,21.881648410918324,low
76,1.5872833472307797,65.5234846154959,0.6774910825366637,Grad,heavy,S,M,26.006868743036623,high
77,1.5697716536210644,65.74412534251601,0.7000434834358799,Grad plus,turbo,S,M,26.67988706802021,high
78,1.7348092959342105,68.14907052028053,0.7666569404953848,some HS,inactive,NS,M,22.64417255251215,low
79,1.6809450315623238,66.82970258223898,0.7356393868570061,Uni,moderate,S,F,23.651707783608845,med
80,1.5552085413463843,65.25489956584512,0.6976482632338643,Grad,heavy,S,M,26.979621960944677,high
81,1.451339279440851,65.98680327906646,0.6614798573840267,Uni,moderate,NS,F,31.327027691204957,med
82,1.6734447112635564,66.98748276685993,0.744560082553191,some HS,inactive,NS,M,23.920536814031955,low
83,1.5123579207344893,64.4513386283264,0.688766062992195,Uni,moderate,NS,M,28.178817961577483,med
84,1.701309386844571,67.76185994061294,0.7436954306313909,Uni,moderate,S,M,23.410932980157632,med
85,1.6350414874358974,65.09350684561372,0.7318673046286638,Grad,heavy,S,M,24.348943141988432,high
86,1.5719535433372214,66.09560713233783,0.6973583457916218,Grad,heavy,S,M,26.748115032124094,high
87,1.6413833792415604,66.91675917685845,0.7225950417491919,HS,light,NS,M,24.837897859040435,med
88,1.8084553409450477,67.8540099081454,0.7746325429122071,Grad plus,turbo,S,M,20.7472213710243,high
89,1.5375773215383877,64.5462779069477,0.6818924088629159,Uni,moderate,S,M,27.30217675777984,med
90,1.6328583525902347,63.8309136488439,0.7234189616563932,Grad plus,turbo,S,F,23.940545205708275,high
91,1.5773564743526245,65.29950857302042,0.6837030066033745,Uni,moderate,NS,F,26.245219389067273,med
92,1.6332983329893906,66.15581636265881,0.715208825577147,some HS,inactive,NS,F,24.799161415176027,low
93,1.6355909699628721,66.28546372210832,0.7202373847092531,Uni,moderate,S,F,24.778150732330737,med
94,1.6430026764680281,65.74650239219969,0.7265024952547698,HS,light,NS,F,24.355447422394487,low
95,1.6008710806515327,66.32695079494785,0.6995446524462506,HS,light,NS,F,25.880777177931503,low
96,1.5675487569486681,66.38781475889635,0.6924116436129895,Uni,moderate,NS,M,27.017568269910686,med
97,1.708192863420369,66.37181882186704,0.7604483186152535,Grad,heavy,S,M,22.746255482845626,high
98,1.5939902558254124,66.16159280813844,0.6969639140520855,Uni,moderate,NS,M,26.0396191299064,med
99,1.671416422537939,66.06412963597629,0.7466011543412124,some HS,inactive,NS,F,23.648107323021108,low
100,1.5957263771262928,66.69059048350883,0.6964557834085543,Uni,moderate,S,M,26.190736718994657,med
101,1.5683452005183471,64.89706846856558,0.7015273193747034,Uni,moderate,NS,M,26.38406819526398,med
102,1.6906690571429273,66.70848165214528,0.7610664178259037,Uni,moderate,S,M,23.3380113859792,med
103,1.589629550764351,66.2268541817494,0.6900148194418991,Uni,moderate,S,M,26.208506370140167,med
104,1.6061578418065565,65.7571281756985,0.7270632864419115,some HS,inactive,NS,F,25.489797956429506,low
105,1.552359929240869,64.93219188002173,0.7031623569164294,some HS,inactive,NS,M,26.944815590738123,low
106,1.5664155687643664,64.6507892980911,0.6914598768279744,some HS,inactive,NS,F,26.34873984274914,low
107,1.6347224854978368,67.06090272539628,0.7404733810974685,Uni,moderate,NS,F,25.094660383988767,med
108,1.7445441416906151,67.11282553390049,0.760550187648251,Grad,heavy,S,F,22.05167575495003,high
109,1.49729554119669,64.26950271619775,0.6615857606113177,Grad plus,turbo,S,M,28.66750368328828,high
110,1.6545268276121068,66.98720587381158,0.7267463595683245,Uni,moderate,NS,F,24.470578483161315,med
111,1.4868744628005717,65.5330726797509,0.6633567235914484,Grad,heavy,S,F,29.64230192075001,med
112,1.5205450590476057,65.21809296686625,0.6694682190949826,some HS,inactive,NS,F,28.207818909633428,low
113,1.5090088600202267,64.35894531657577,0.6865766618000935,Grad plus,turbo,S,F,28.263460791419895,high
114,1.5202679480096553,65.42933128319405,0.6740595785751102,Grad plus,turbo,S,F,28.309500263574034,high
115,1.4287807008013802,65.47207152031667,0.6479609074473245,Grad plus,turbo,S,F,32.07191789022235,high
116,1.5340558656081833,65.58432303077859,0.6897730866868581,Grad,heavy,S,M,27.868762784145368,high
117,1.4707490606623475,64.47037485021355,0.6620206417878759,Uni,moderate,S,M,29.80458204156022,med
118,1.6341091879341882,66.65200060592,0.7313959280040343,Grad plus,turbo,S,F,24.960371554656884,high
119,1.5503202831683291,65.07104252815316,0.693641374600129,HS,light,NS,M,27.073531339059308,low
120,1.7376620907418752,67.73070448321175,0.7726445930795754,HS,light,NS,F,22.431325618634876,low
121,1.5675880890468206,65.41157188325344,0.6998532988598553,some HS,inactive,NS,F,26.618935001557837,low
122,1.621842172302737,65.72485035272783,0.7420906912814522,Grad,heavy,S,F,24.986902824639856,med
123,1.6537563473664765,65.93591861409627,0.7369005211281682,Grad,heavy,S,M,24.108989785047925,high
124,1.6525086546690746,65.43645287421799,0.7253217285681539,some HS,inactive,NS,M,23.96250762274814,low
125,1.575524714062911,66.82929789018061,0.7081431870158967,some HS,inactive,NS,M,26.922566503433195,low
126,1.6221603033198422,65.965677713623,0.7188792837995095,Uni,moderate,S,F,25.06862362014598,med
127,1.6216479888010245,66.83696827303224,0.7204647764854715,some HS,inactive,NS,M,25.415787252319134,low
128,1.625917326513329,67.23967380155474,0.7050524181388802,Uni,moderate,NS,M,25.434820651772508,med
129,1.6624771491440196,67.42259437860575,0.7226024713034058,Grad plus,turbo,S,M,24.39462186794067,high
130,1.606717726689806,65.76676194565022,0.7176477164545187,Grad plus,turbo,S,F,25.475768236187264,high
131,1.5326649465706328,64.89253101398266,0.6929448286326083,Grad,heavy,S,M,27.624871321779146,high
132,1.6059004194110238,65.57697920925432,0.70592467706112,Uni,moderate,NS,M,25.42811600509669,med
133,1.6823320729581963,67.36069670383026,0.7388950873572185,Grad,heavy,S,F,23.800337800070906,med
134,1.6453753319213826,64.25386421349289,0.735200515229925,Uni,moderate,S,F,23.733909790508452,med
135,1.7054416437390207,66.15555000692069,0.7572817066388884,Grad,heavy,S,F,22.745346517991145,high
136,1.5931353557209278,65.74626488909843,0.7101559090627889,Grad plus,turbo,S,M,25.903934514036024,high
137,1.5566386356814284,65.38982612319177,0.6754104078258693,HS,light,NS,F,26.985754911571455,low
138,1.632429146385432,65.51573657571548,0.726095026968141,some HS,inactive,NS,F,24.585381251109176,low
139,1.5246555339638046,63.620831407153034,0.6808224892819652,Grad,heavy,S,M,27.368807273122158,high
140,1.5591571577090282,64.84026262878605,0.7030526722350979,Grad plus,turbo,S,M,26.67257712943814,high
141,1.6586979934124313,65.92182351703214,0.7229291915294701,HS,light,NS,M,23.96042812013673,med
142,1.6586535927356045,67.62366625603381,0.7309190274758663,Grad plus,turbo,S,M,24.580308262139845,high
143,1.6650604681954841,67.00082502131666,0.7362699001880677,Grad,heavy,S,F,24.166854680649298,med
144,1.6302362238812984,65.78022796480414,0.7305168202837452,Grad plus,turbo,S,F,24.751088118423457,high
145,1.6361952495235148,65.58310996781975,0.7284367342179746,some HS,inactive,NS,F,24.497499211192117,low
146,1.4871095179539762,64.96863053311189,0.6680475741874572,Uni,moderate,NS,F,29.377700969790396,med
147,1.328737610670959,63.16321350682435,0.5910901879220744,some HS,inactive,NS,M,35.77550401300841,low
148,1.3544284266916935,63.79240404071447,0.615380371571751,some HS,inactive,NS,M,34.77417606805796,low
149,1.7348208730130013,68.24993138456497,0.7793184054702693,Grad plus,turbo,S,F,22.677383336033724,high
150,1.6028193235635826,65.17521851636032,0.7024866441227872,Grad plus,turbo,S,F,25.36958462784561,high
151,1.6540829291495043,65.58950215216049,0.7480074303262945,Grad plus,turbo,S,M,23.9728559260828,high
152,1.442708429053972,64.65151905178001,0.6810596816885774,Grad plus,turbo,S,M,31.061440681740187,high
153,1.613344511246279,66.51865731712911,0.7224915624432702,Grad,heavy,S,M,25.555785988355908,high
154,1.6796992161978053,67.34489953066436,0.7383679881139804,HS,light,NS,M,23.869409225327736,med
155,1.5689935457946045,66.3368322272081,0.6954899765964929,Grad plus,turbo,S,M,26.94712362173702,high
156,1.63186845291439,66.67906980588062,0.7212355264729211,Grad plus,turbo,S,M,25.039130238411754,high
157,1.6772919399004247,67.12761467622128,0.7369165229883502,Grad,heavy,S,M,23.86073926905572,high
158,1.5007727832951832,65.40981641161234,0.67013505844001,Uni,moderate,NS,M,29.04109850712965,med
159,1.6894049711607546,65.75636125860142,0.7684597910439683,some HS,inactive,NS,M,23.03935078795313,low
160,1.7075335448633129,67.01094720312041,0.7466583849754009,Uni,moderate,S,F,22.983029169845423,med
161,1.7399008651991064,67.88496010533416,0.7787234143544606,HS,light,NS,F,22.424592457749075,low
162,1.560059952524122,65.72765370405975,0.6864973276305678,HS,light,NS,F,27.00632890471944,low
163,1.467977546459568,65.09284942222835,0.6423103591624312,Grad plus,turbo,S,F,30.20608619708356,high
164,1.5523079071501114,65.6097837923647,0.6997369991641929,HS,light,NS,M,27.22781976997342,med
165,1.5336810983762243,65.18477280451152,0.6903999687232873,Uni,moderate,NS,M,27.712520395614767,med
166,1.5669924651544418,65.77767560604968,0.6919800366083307,Grad,heavy,S,M,26.788272392305934,high
167,1.7112175412481943,66.27868868893174,0.7619277991107302,Grad,heavy,S,F,22.63411199882316,high
168,1.5042320307146948,65.5676207658084,0.6526933646324728,Grad plus,turbo,S,M,28.977422997888873,high
169,1.713619485433853,66.99556524268922,0.7662012003876209,Uni,moderate,NS,M,22.814831831640298,med
170,1.6292061791527201,66.77220759228007,0.7176646430086516,Grad plus,turbo,S,F,25.156118842351386,high
171,1.6747684205799844,67.7904957559816,0.7693000604086255,HS,light,NS,F,24.169033488031165,low
172,1.6523852647728903,66.44167277257712,0.7492660947835923,Grad plus,turbo,S,F,24.33424806673729,high
173,1.566181201452107,66.1214693299803,0.7012387118546615,Grad plus,turbo,S,F,26.95618833050078,high
174,1.7910525256319243,66.02203140526386,0.7984364777656365,Uni,moderate,S,F,20.58127321498212,med
175,1.6173631713333447,66.19587828755937,0.7129731147327567,Grad,heavy,S,M,25.30555399730014,high
176,1.8020990544331847,68.76329384173235,0.7723403866845284,Uni,moderate,NS,F,21.17382669628625,med
177,1.5724849243341186,65.49101724277753,0.7090445248815063,Grad plus,turbo,S,F,26.485535318989996,high
178,1.6478538326438081,66.05563329633283,0.7509655284460358,HS,light,NS,M,24.32610000337655,med
179,1.6389238763146237,64.9442117243116,0.7400557643175141,Grad plus,turbo,S,M,24.178139856938575,high
180,1.7588528604716398,68.56606917098779,0.7716255500300355,HS,light,NS,F,22.16410677347684,low
181,1.5599877998375906,65.22213150963931,0.7023990816424707,some HS,inactive,NS,M,26.80109782882087,low
182,1.782941345073168,68.0845102569001,0.7825237103816118,Grad,heavy,S,M,21.41776779380073,high
183,1.7128604730214216,68.03603902340208,0.7482892022153468,HS,light,NS,M,23.18969553486949,med
184,1.6446107731866884,66.68799240107315,0.7298930892078057,Uni,moderate,NS,F,24.655929627295233,med
185,1.516020579243663,65.54809087681042,0.6679484116958665,HS,light,NS,F,28.52002184345014,low
186,1.644130229079861,65.92351960809694,0.7398171946707459,some HS,inactive,NS,M,24.387537893544664,low
187,1.5698922244701041,65.85087669331703,0.6807544684566217,Grad plus,turbo,S,F,26.719103628054842,high
188,1.4841108137951617,65.45261963481843,0.6791925816974588,Uni,moderate,S,F,29.716275367305638,med
189,1.599349093419195,65.10277247515988,0.7251459039733914,Uni,moderate,S,M,25.451474451160816,med
190,1.59058198571869,66.11284315142014,0.7034959868440644,Grad,heavy,S,M,26.13206412249446,high
191,1.5352662227418121,65.35629641529742,0.6944667119797255,Uni,moderate,S,M,27.72809564946414,med
192,1.583400722906475,65.10841303531264,0.6924490596520326,Grad plus,turbo,S,F,25.969012303501962,high
193,1.5369154003980623,66.74124686748075,0.6896708658642325,Grad,heavy,S,M,28.254940113805898,high
194,1.5545654340050805,64.34764647850547,0.6964251709605465,HS,light,NS,M,26.626534969101257,med
195,1.582253637541013,64.95990534441694,0.7052760481265116,Uni,moderate,NS,F,25.947360028735723,med
196,1.7017910487338015,66.2908497797546,0.7439532152978057,some HS,inactive,NS,F,22.889753527641556,low
197,1.6734924747549735,67.28190591976278,0.7262815687910492,Grad,heavy,S,M,24.024300851129503,high
198,1.629672442096437,66.31683518554331,0.7208390713092037,Uni,moderate,S,M,24.970264866269375,med
199,1.6803541060284741,66.46884160742897,0.7428650210686938,HS,light,NS,F,23.540543581719376,low
200,1.589400174727119,66.53015836506853,0.7209447920295842,HS,light,NS,F,26.336135280443926,low
201,1.6439799934205,66.35821158947202,0.7247410444295425,HS,light,NS,F,24.552833389990482,low
202,1.5720622744660262,64.54629412788617,0.703917905902459,some HS,inactive,NS,F,26.117513084680727,low
203,1.723015490083676,66.9853894460137,0.7492022450945824,Grad,heavy,S,F,22.563253513730466,high
204,1.5767554267886152,65.36980560051443,0.7107710404433005,HS,light,NS,F,26.29350754137388,low
205,1.645348142515548,66.67112297545273,0.7326762327547531,Uni,moderate,S,M,24.627603886501475,med
206,1.4973089016253747,63.841557091906544,0.6658252160738541,Uni,moderate,NS,F,28.476109735777214,med
207,1.6298651614695827,66.21561483147079,0.7143566253202409,HS,light,NS,F,24.926256653572164,low
208,1.5116515679321725,64.33187679400505,0.6680539111749009,Grad,heavy,S,M,28.152879651986233,high
209,1.4655984246709688,65.28327100612793,0.6571610017635954,HS,light,NS,M,30.392885049339466,low
210,1.5510304839755975,64.82098149201462,0.6825249574784689,HS,light,NS,F,26.944798215512648,low
211,1.5348060705585418,65.6039726318678,0.6921316078510691,Grad,heavy,S,M,27.849866789225842,high
212,1.5263955140607743,65.3104126643994,0.6853577059222176,Grad,heavy,S,M,28.031624431935878,high
213,1.5398500329477784,65.13911752466369,0.6876120694961962,HS,light,NS,M,27.47166724122385,low
214,1.719397289038936,68.58410153801859,0.7537867820145885,some HS,inactive,NS,F,23.19909153039892,low
215,1.6383768231181866,66.37444432604879,0.7064637349604539,Grad plus,turbo,S,M,24.72710692800036,high
216,1.5457834838932896,65.97512264382564,0.6991625571677361,Grad plus,turbo,S,M,27.61104735361065,high
217,1.601676467391305,66.05321240628456,0.6882478819721263,Grad plus,turbo,S,M,25.74805061916979,high
218,1.6407796830100498,64.89566581045892,0.7161585443430944,some HS,inactive,NS,F,24.10544499153798,low
219,1.3867967139259958,63.752904433602886,0.6300966206747547,Grad,heavy,S,M,33.149300394332094,high
220,1.6353471191586615,69.4202776745508,0.7141064454452881,Uni,moderate,S,M,25.957714174366966,med
221,1.7398417234609775,69.22403812519316,0.7758967005402031,Grad plus,turbo,S,M,22.868487768939346,high
222,1.7640656052621966,66.24490622588598,0.7716328974252091,HS,light,NS,M,21.287419801530472,med
223,1.6043031159118686,66.52327772226411,0.7210000014317515,Uni,moderate,NS,M,25.846443108880678,med
224,1.645746059352835,67.67087133726268,0.7183581351349626,some HS,inactive,NS,F,24.98481400703467,low
225,1.5104705091568198,64.1274090246203,0.6971824746582651,Grad,heavy,S,M,28.107304098733486,high
226,1.5377632364152318,64.34586224146969,0.6971410566607297,HS,light,NS,M,27.210822976371997,med
227,1.554149235607582,64.69154132320277,0.6949600295420731,Grad,heavy,S,F,26.783175083572235,med
228,1.4460558285685128,63.88641703216034,0.6563109096298586,HS,light,NS,F,30.55191320000993,low
229,1.6653978114241492,66.98362692980855,0.7320556978860122,HS,light,NS,M,24.15086443808978,med
230,1.6682478590848842,66.77571543148645,0.7436265924288868,Grad,heavy,S,F,23.993709553575513,high
231,1.6205370329530706,65.50171458399524,0.7035137441995918,some HS,inactive,NS,M,24.942199471692984,low
232,1.6558050647382465,65.96933439150982,0.7380468820757882,Grad,heavy,S,F,24.061554905264966,med
233,1.6567549852493983,65.95884379257139,0.7343504727551597,Grad,heavy,S,F,24.03014890959107,med
234,1.6025431778873547,65.49791416056678,0.7124825367423248,Grad plus,turbo,S,F,25.503981830731135,high
235,1.4750584489680454,64.46527135625807,0.6623313974202896,HS,light,NS,F,29.62834247823646,low
236,1.5547514030124407,65.83205290560583,0.6836578616372802,Grad plus,turbo,S,M,27.23425399733587,high
237,1.5224641602217652,65.57629047086789,0.6836200809694394,Uni,moderate,S,F,28.291286066501183,med
238,1.4618982831389697,64.62589178445782,0.6622478445222071,HS,light,NS,M,30.239335045828206,low
239,1.5784226701177835,66.53066315279658,0.7053351878793177,some HS,inactive,NS,F,26.70393318196224,low
240,1.5746853631199231,65.48791152142452,0.6946613566988041,some HS,inactive,NS,M,26.410313663605862,low
241,1.468440697706123,64.60612438678406,0.6603803989420656,HS,light,NS,F,29.961314569369264,low
242,1.458611630817989,63.76946186086433,0.662674550765125,Uni,moderate,NS,M,29.973220426134365,med
243,1.5535349964543845,65.0088337379428,0.7014860770028009,Grad plus,turbo,S,M,26.93582567860289,high
244,1.5422376531068882,64.01018369857154,0.6769025643789645,5,5,2,F,26.912030695374845,3
245,1.5221609651828414,65.54935711832783,0.679105810884837,Uni,moderate,S,M,28.290933349812068,med
246,1.7393099034802606,69.38870264137338,0.7594352401141656,Grad,heavy,S,M,22.93690564147537,high
247,1.5476746106958754,66.51813117984503,0.6824686613117088,HS,light,NS,F,27.770309692067595,low
248,1.7265751930722217,66.22797528338666,0.749547371404967,Grad plus,turbo,S,F,22.216236215239654,high
249,1.5918815194531892,65.88032124094113,0.7116602325632118,HS,light,NS,M,25.997658000303716,med
250,1.6656322598518993,67.6147064704049,0.7508490403745464,some HS,inactive,NS,F,24.37153704225543,low
251,1.5256640599089535,65.23235517132588,0.6626805435049017,some HS,inactive,NS,M,28.024974582610778,low
252,1.5769748508669859,66.43067523152307,0.6978276301566233,some HS,inactive,NS,M,26.712782746238215,low
253,1.5515459284229782,66.22847119281022,0.6986452361217426,some HS,inactive,NS,M,27.51157526407556,low
254,1.6748485484632076,65.99882853772016,0.737865180034741,Grad plus,turbo,S,F,23.528007210547162,high
255,1.488005736354007,65.45409536941176,0.6586943314926014,Grad,heavy,S,F,29.56157806864632,med
256,1.5916618975334762,66.10877941706181,0.6929513609221015,Grad plus,turbo,S,F,26.095011880487473,high
257,1.5804855249632666,65.9272628470664,0.7123932989585007,Uni,moderate,NS,F,26.39271085334747,med
258,1.5229830976980225,65.39499038243669,0.6838474793022902,HS,light,NS,F,28.193845353055334,low
259,1.6198064129550467,66.20953302498435,0.715057907415459,Grad plus,turbo,S,M,25.234476336939025,high
260,1.4406150824489554,65.87741263920738,0.6468748784183126,Uni,moderate,NS,M,31.74246279068166,med
261,1.782439527675061,68.17108894871657,0.7828873412980647,HS,light,NS,F,21.457080087868928,low
262,1.5441685451855829,64.68242491863334,0.6834427899263144,some HS,inactive,NS,F,27.12669534074224,low
263,1.7267372395636447,65.56160502709137,0.7627713752084918,Grad,heavy,S,F,21.98857405211199,high
264,1.500287769664891,65.15894934084085,0.6583537691957662,Uni,moderate,NS,M,28.94842467030327,med
265,1.7118462508530745,68.7912987906884,0.7484008012620806,HS,light,NS,M,23.474913304573942,med
266,1.6096141869859277,64.77738548010167,0.7335146080606606,Grad,heavy,S,M,25.00229256363336,high
267,1.6335421497253855,67.54114770018549,0.7273469188890296,Grad,heavy,S,M,25.3109092289045,high
268,1.6127552447344848,67.35701452740628,0.7188443808492656,some HS,inactive,NS,M,25.896788137084027,low
269,1.4921385021550346,64.61687240532633,0.6799438250531021,HS,light,NS,F,29.02202152535936,low
270,1.704469141339625,67.51098654180514,0.7447167990065201,Grad plus,turbo,S,F,23.237862014375963,high
271,1.6540784254319287,66.91340946950588,0.7245205598984635,Grad,heavy,S,F,24.456875070177038,med
272,1.5466943654480003,65.27784907579218,0.6813203598573508,HS,light,NS,M,27.28706522684964,low
273,1.7747932425557709,67.65233952375448,0.7887811215821467,Uni,moderate,NS,F,21.477676010944823,med
274,1.545858464993581,65.26738102826289,0.6784812494873456,Grad plus,turbo,S,F,27.31220284612715,high
275,1.5648927344183046,66.66736384358636,0.696266754699466,HS,light,NS,M,27.223510941833414,low
276,1.5718220810768753,64.46440345528983,0.6936697406784601,HS,light,NS,F,26.09235010113204,low
277,1.563989956656756,65.35028479934574,0.6945149800057743,some HS,inactive,NS,F,26.716500133656172,low
278,1.4664355569739318,63.248298393365005,0.6663326766289198,Uni,moderate,NS,F,29.411886468172025,med
